NAME,POSITION,START_SEASON,END_SEASON,TRANSFERRED FROM,TRANSFERRED TO,APPEARANCES,GOALS
JENSEN John,M,1992,1996,Brondby IF,Brondby IF,98,1
JOHNSTON George,F,1967,1969,Cardiff City,Birmingham City,21,3
JONES Bryn,IF,1938,1949,Wolverhampton Wds.,P/Coach Norwich City,71,7
JONSSON Siggi,M,1989,1991,Sheffield Wednesday,IA Akranes,8,1
JOY Bernard,CH,1935,1947,Corinthian Casuals,Corinthian Casuals,86,0
JULIANS Len,CF,1958,1960,LeYouth Traineeon Orient,Nottingham Forest,18,7
KALLSTROM Kim,M,2013,2014,Spartak Moscow,,3,0
KANE Peter,IF,1960,1961,Northampton Town,Northampton Town,4,1
KANU Nwankwo,F,1998,2004,Inter. Milan,West Bromwich Albion,119,30
KAY John,FB,1982,1984,Apprentice,Wimbledon,14,0
KELLY Eddie,M,1969,1976,Youth Trainee,Queens Park Rangers,175,13
KELLY Noel,IF,1949,1950,Glentoran,Crystal Palace,1,0
KELSEY Jack,G,1950,1962,Winch Wen,Retired,327,0
KENNEDY Ray,F,1969,1974,Apprentice,Liverpool,158,53
KEOWN Martin,CD,1992,2004,Everton,Leicester City,310,4
KIDD Brian,F,1974,1976,Manchester United,Manchester City,77,30
KIWOMYA Chris,F,1994,1995,Ipswich Town,Queens Park Rangers,14,3
KOSMINA John,F,1978,1979,Adelaide City,West Adelaide Hellas,1,0
LANSBURY Henri,M,2009,2012,Youth Trainee,Nottingham Forest,3,0
LARSSON Sebastian,M,2005,2006,Youth Trainee,Birmingham City,3,0
LAUREN,FB,2000,2006,Real Mallorca,Portsmouth,159,6
LAWTON Tommy,CF,1953,1956,Brentford,P./Mgr. Kettering Town,35,13
LE ROUX Danny,W,1957,1958,Queens Park Rangers,Durban City,5,0
LEHMANN Jens,G,2003,2008,Borussia Dortmund,VfB Stuttgart,147,0
LEWIS Reg,CF,1937,1952,Dulwich Hamlet,Retired,154,103
LIMPAR Anders,W,1990,1994,Cremonese,Everton,96,17
LINIGHAN Andy,CD,1990,1997,Norwich City,Crystal Palace,118,5
LISHMAN Doug,IF,1948,1956,Walsall,Nottingham Forest,226,125
LJUNGBERG Freddie,W,1998,2007,Halmstads BK,West Ham United,216,46
LOGIE Jimmy,IF,1946,1955,Lochore Welfare,Gravesend & Northfleet,296,68
LUKIC John,G,1983,1990,Leeds United,Leeds United,223,0
LUPOLI Arturo,F,2005,2006,Parma,Fiorentina,1,0
LUZHNY Oleg,D,1999,2003,Dynamo Kiev,Wolverhampton Wds.,75,0
LYDERSEN Pal,D,1991,1993,IK Start,IK Start,15,0
MACAULAY Archie,WH,1947,1950,Brentford,Fulham,103,1
MacDONALD Malcolm,F,1976,1979,Newcastle United,Retired,84,42
MADDEN Dave,M,1983,1984,Southampton,Charlton Athletic,2,0
MAGILL Eddie,FB,1959,1965,Portadown,Brighton,116,0
MALE George,FB,1930,1948,Clapton,Coach Arsenal,285,0
MALZ Stefan,M,1999,2001,TSV Munich 1860,1 FC Kaiserslautern,6,1
MANCINI Terry,CD,1974,1976,Queens Park Rangers,Aldershot,52,1
MANNINGER Alex,G,1997,2001,Grazer AK,Espanyol,39,0
MANNONE Vito,G,2008,2013,Atalanta Youth,Sunderland,15,0
MARDEN Ben,W,1950,1955,Chelmsford City,Watford,42,11
MARINELLO Peter,W,1969,1973,Hibernian,Portsmouth,38,3
MARINER Paul,F,1983,1986,Ipswich Town,Portsmouth,60,14
MARSHALL Scott,CD,1992,1998,Youth Trainee,Southampton,24,1
MARWOOD Brian,W,1987,1990,Sheffield Wednesday,Sheffield United,52,16
MATTHEWS John,M,1974,1978,Apprentice,Sheffield United,45,2
McCLELLAND Jack,G,1960,1964,Glenavon,Fulham,46,0
McCULLOUGH Billy,FB,1958,1966,Portadown,Millwall,253,4
McDERMOTT Brian,W,1978,1984,Apprentice,Oxford United,61,12
McGILL Jimmy,M,1965,1967,Possilpark,Huddersfield Town,10,0
McGOLDRICK Eddie,M,1993,1996,Crystal Palace,Manchester City,38,0
McGOVERN Brian,D,1999,2000,Cherry Orchard,Norwich City,1,0
McGOWAN Gavin,FB,1992,1998,Youth Trainee,Luton Town,6,0
McKECHNIE Ian,G,1961,1964,Youth Trainee,Southend United,23,0
McLEOD John,W,1961,1965,Hibernian,Aston Villa,101,23
McLINTOCK Frank,CD,1964,1973,Leicester City,Queens Park Rangers,314,26
McNAB Bob,FB,1966,1975,Huddersfield Town,Wolverhampton Wds.,278,4
McPHERSON Ian,W,1946,1951,Notts County,Notts County,152,19
MEADE Raphael,F,1981,1985,Apprentice,Sporting Lisbon,41,14
MENDEZ Alberto,F,1997,1999,FC Feucht,Racing Ferrol,4,0
MERCER Joe,WH,1946,1954,Everton,Mgr. Sheffield United,247,2
MERIDA Fran,M,2008,2010,Youth Trainee,Atletico Madrid,6,1
MERSON Paul,F,1986,1997,Apprentice,Middlesbrough,327,78
MIGUEL Ignasi,D,2011,2013,Youth Trainee,Norwich City,5,0
MILLER Alan,G,1992,1994,Youth Trainee,Middlesbrough,8,0
MILTON Arthur,W,1950,1955,Youth Trainee,Bristol City,75,18
MORGAN Stan,IF,1946,1947,Gwynfi Welfare,Walsall,2,0
MORROW Steve,D,1991,1997,Youth Trainee,Queens Park Rangers,62,1
NASRI Samir,M,2009,2012,Olympique Marseille,Manchester City,86,18
NEILL Terry,CH,1960,1970,Bangor,P/Mgr. Hull City,241,8
NEILSON Gordon,W,1965,1967,Glasgow United,Brentford,14,2
NELSON Dave,WH,1936,1947,St. Bernard's,Fulham,27,4
NELSON Sammy,FB,1969,1981,Youth Trainee,Brighton,255,10
NICHOLAS Charlie,F,1983,1988,Celtic,Aberdeen,151,34
